Row Labels,Sum of count
48021950100,3
48021950200,3
48021950300,19
48021950400,7
48021950501,2
48021950502,1
48021950801,6
48021950802,9
48055960101,12
48209010303,3
48209010304,19
48209010701,1
48209010702,1
48209010804,2
48209010806,3
48209010807,1
48209010808,3
48209010809,7
48209010901,8
48209010902,28
48209010905,4
48209010906,31
48209010907,10
48209010908,22
48209010909,57
48209010910,88
48453000101,5953
48453000102,1400
48453000203,17059
48453000204,68747
48453000205,10428
48453000206,5262
48453000302,50653
48453000304,12630
48453000305,21018
48453000306,86850
48453000307,8269
48453000401,213572
48453000402,52021
48453000500,109739
48453000601,925323
48453000603,775991
48453000604,688282
48453000700,485165
48453000801,16521
48453000802,18233
48453000803,65262
48453000804,83534
48453000901,129731
48453000902,959231
48453001000,208718
48453001100,6193724
48453001200,720680
48453001303,435075
48453001304,67766
48453001305,1079353
48453001307,24489
48453001308,57000
48453001401,382482
48453001402,42131
48453001403,17522
48453001501,2768
48453001503,13992
48453001504,5550
48453001505,5324
48453001602,29516
48453001603,10937
48453001604,4720
48453001605,35110
48453001606,958
48453001705,237
48453001706,125
48453001707,603
48453001712,3704
48453001713,977
48453001714,72
48453001716,60
48453001718,437
48453001719,103
48453001722,141
48453001728,545
48453001729,155
48453001733,3
48453001737,126
48453001738,94
48453001740,82
48453001741,14
48453001742,5
48453001745,31
48453001746,75
48453001747,260
48453001748,361
48453001749,148
48453001750,1497
48453001751,294
48453001752,315
48453001753,706
48453001754,446
48453001755,26
48453001756,23
48453001757,56
48453001760,25
48453001761,36
48453001764,5
48453001765,16
48453001766,13
48453001768,18
48453001769,52
48453001770,16
48453001772,31
48453001773,3
48453001774,86
48453001775,3
48453001776,101
48453001777,72
48453001778,1
48453001779,4
48453001780,2
48453001781,4
48453001782,16
48453001783,9
48453001784,10
48453001785,71
48453001786,24
48453001804,1931
48453001805,920
48453001806,881
48453001811,667
48453001812,1785
48453001813,701
48453001817,2233
48453001818,2200
48453001819,790
48453001820,986
48453001821,1364
48453001822,786
48453001823,786
48453001824,68
48453001826,472
48453001828,53
48453001829,133
48453001832,53
48453001833,380
48453001834,328
48453001835,55
48453001839,197
48453001840,100
48453001841,47
48453001842,43
48453001843,210
48453001844,460
48453001845,447
48453001846,28
48453001847,161
48453001848,248
48453001849,15183
48453001850,1221
48453001851,47
48453001853,13
48453001854,22
48453001855,34
48453001856,92
48453001857,45
48453001858,38
48453001859,3
48453001860,4
48453001861,16
48453001862,13
48453001863,59
48453001864,29
48453001901,53097
48453001908,42
48453001910,7307
48453001911,102651
48453001912,49
48453001913,38
48453001914,130
48453001915,442
48453001916,16
48453001917,204
48453001918,84
48453001919,1541
48453002002,3504
48453002003,6046
48453002004,27882
48453002005,21648
48453002104,1562
48453002105,9953
48453002106,2063
48453002107,2134
48453002108,1146
48453002109,7116
48453002110,4067
48453002111,23149
48453002112,1495
48453002113,469
48453002201,242
48453002202,300
48453002207,131
48453002208,348
48453002209,27
48453002210,3
48453002211,49
48453002212,18
48453002304,225567
48453002307,19425
48453002308,59052
48453002310,234
48453002312,6890
48453002313,9675
48453002314,29602
48453002315,15438
48453002316,38654
48453002317,43391
48453002318,42057
48453002319,20
48453002402,5994
48453002403,7095
48453002407,71
48453002409,1790
48453002410,1821
48453002411,4561
48453002412,439
48453002413,504
48453002419,666
48453002421,750
48453002422,1336
48453002423,170
48453002424,388
48453002425,82
48453002426,247
48453002427,642
48453002428,51
48453002429,196
48453002430,125
48453002431,3583
48453002432,57
48453002433,92
48453002434,5
48453002435,117
48453002436,6
48453002500,108
48453980000,110
48491020106,2
48491020108,5
48491020109,1
48491020110,2
48491020112,7
48491020113,1
48491020114,17
48491020115,4
48491020204,4
48491020301,2
48491020302,3
48491020310,2
48491020311,61
48491020312,3
48491020313,5
48491020316,13
48491020317,7
48491020318,63
48491020319,1
48491020320,24
48491020322,10
48491020323,2
48491020324,2
48491020325,1
48491020326,9
48491020327,2
48491020328,20
48491020403,2
48491020404,5
48491020405,36
48491020406,153
48491020408,61
48491020409,9
48491020410,48
48491020411,25
48491020503,8
48491020504,26
48491020506,19
48491020507,1
48491020508,8
48491020509,2
48491020510,5
48491020602,10
48491020605,1
48491020701,20
48491020703,24
48491020704,5
48491020706,1
48491020707,8
48491020708,11
48491020803,4
48491020804,2
48491020805,2
48491020806,8
48491020807,20
48491020900,1
48491021401,2
48491021402,6
48491021403,4
48491021502,2
48491021503,3
48491021504,7
48491021505,5
48491021507,9
48491021508,5
48491021601,1
48491021603,7
